대여소 번호,공원유무,유동인구,조사지점거리,지하철거리,대여소 이름
677,0,36747,293.9461663,0.049,청량리역 4번 5번출구 사이
1533,0,1101,294.0010928,2.586,번동 주공3  4단지 교차로
834,1,6120,294.9745016,0.031,효창공원앞역 3번출구 뒤
1366,0,7392,295.0637321,0.26,일신초등학교 옆
673,0,37023,295.2157911,0.352,안암골벽산아파트(후문)
511,1,13446,295.9845025,0.01,서울숲역 4번 출구 옆
666,0,2907,297.1838482,0.507,이문대성유니드아파트 앞
568,0,5286,297.8457827,0.513,청계8가사거리 부근
1525,0,55326,298.2461717,0.3,미아동 복합청사
1470,0,9348,300.0235909,0.196,중화동 우리은행 앞
